TF_Name,Enet_Coef
ARID3A,0.011248821857550165
ARNT,-0.01688887344392541
ASH2L,0.18142944484063145
ATF2,-0.0667617028631484
ATF3,-0.010976680903707556
ATF7,-0.013261809512703959
BACH1,0.02477561997120789
BATF,-0.002645348612457503
BCL11A,-0.007825853280640801
BCL3,-0.07355483818030777
BCLAF1,0.025715031275300976
BHLHE40,-0.2119189525914686
BMI1,-0.12344424869743972
BRCA1,0.014178358818757763
CBFB,0.0771143093121914
CBX3,0.0683990151395089
CBX5,0.06793277577118421
CEBPB,0.02686301507127655
CEBPZ,0.058440907610043114
CHD1,0.22822061298944235
CHD2,-0.05206146239026625
CHD4,0.046357659726786606
CREB1,0.011976504334671805
CREM,0.05178606395197445
CTCF,0.13579116550067521
CUX1,0.08283248514335816
DPF2,-0.0738815028416529
E2F4,0.05703590161616814
E2F8,0.005239465385888901
E4F1,-0.029189507305643077
EBF1,-0.0016402448491991367
EED,0.0021378635446203517
EGR1,0.11270648997211863
ELF1,-0.010790297735906207
ELK1,0.006021479111332771
EP300,-0.03529047475176987
ESRRA,0.04423381191077028
ETS1,0.08403255550784991
ETV6,-0.08070745908894425
EZH2,-0.13294677054458365
FOS,0.022970357699214888
FOXK2,-0.11148636169098222
FOXM1,0.022885841396344753
GABPA,-0.008049538235123107
GATAD2B,0.11032059139935882
HCFC1,0.13660260267266322
HDAC2,0.09246580369339752
HDAC6,0.124566433205332
HDGF,0.12329631384261934
HSF1,0.0623265309173537
IKZF1,-0.014298886214767667
IKZF2,0.00782827724188736
IRF3,0.07002484871469958
IRF4,-0.0829808524556434
IRF5,0.010277738554477807
JUNB,0.03060952920251514
JUND,-0.0038628187366930465
KDM1A,0.26397269877390894
KDM5A,0.2409259659100167
KLF5,0.003318633227244365
MAFK,0.027935412201086612
MAX,0.0
MAZ,0.00010446094743895307
MEF2A,0.0014288216589560363
MEF2B,-0.1600617348953771
MEF2C,0.012212787240690174
MLLT1,0.32713088102327037
MTA2,-0.003845092988608724
MTA3,-0.0026883877544889925
MXI1,0.0321205537677486
MYB,0.0069967240297827485
MYC,0.24787707270967024
NBN,0.0030449260951784392
NFATC1,-0.10246014519190916
NFATC3,0.002792167763427652
NFE2,0.20023158554766235
NFIC,0.12501529290824248
NFXL1,-0.01143597523023025
NFYA,0.09990215518001432
NFYB,-0.04067737427473836
NR2C1,-0.00458747030004274
NR2C2,0.0003267725347080511
NR2F1,-0.06310340654570235
NRF1,0.15858349684132
PAX5,-0.051648880786686016
PAX8,0.18518014650758946
PBX3,-0.044057885088586275
PKNOX1,0.0014100359581309765
PML,0.3093185602073404
POLR3G,0.006222380681358701
POU2F2,-0.02617260154200373
RAD21,-0.1805502586077084
RAD51,0.0945077378662018
RB1,0.05588173976998354
RBBP5,0.12613918646903577
RCOR1,-0.026419525420546947
RELA,0.07197389545180435
RELB,0.0670110789506659
REST,-0.04658973864847212
RFX5,-0.02416627042075615
RUNX3,0.00024605980420874514
RXRA,0.017984139075016052
SIN3A,0.2682172030206005
SIX5,0.008023749710808019
SKIL,0.06790905020679924
SMAD1,0.057750772617629995
SMAD5,0.6591031634516793
SMARCA5,0.0691000254257263
SMC3,-0.17846672053078266
SP1,-0.16317784967458512
SPI1,-0.08406970468628881
SREBF1,-0.1962591378277921
SREBF2,-0.005311644208887942
SRF,-0.024525028855528735
STAT1,0.0023206873224929825
STAT3,0.008279503503064507
STAT5A,0.006612471934847211
SUZ12,-1.0329065918758866
TAF1,0.4969589478192892
TARDBP,-0.035314178359560966
TBL1XR1,-0.03981872721185436
TBP,0.2408434317058905
TBX21,0.02884868891066065
TCF12,0.008610143168709058
TCF3,0.028965877773689797
TCF7,0.04561163902302663
TRIM22,0.04906958232756893
UBTF,0.10084762853964013
USF1,-0.017990980043172605
USF2,-0.06049501039633818
WRNIP1,0.1727810370652789
YBX1,0.25855395065232856
YY1,-0.10155685489676596
ZBED1,0.15500863979508292
ZBTB33,0.06972874967907589
ZBTB40,0.09252645732318007
ZEB1,0.027150216000376336
ZFP36,-0.09211289874786698
ZNF143,-0.23254099841388004
ZNF207,0.020843724438712453
ZNF217,-0.0031523031266753
ZNF24,0.013897512237362228
ZNF274,-0.0014260951886982992
ZNF384,0.08637379915370404
ZNF592,0.012848813611803706
ZNF622,0.02948553166068126
ZNF687,0.11566966689858313
ZSCAN29,-0.036121139789544635
ZZZ3,0.1527285952937871
